"","name","m2","droppings"
"112","Klim_holme_SKR (291).JPG",7.68,0
"113","Klim_holme_SKR (293).JPG",7.05333333333333,2
"114","Klim_holme_SKR (295).JPG",7.68,1
"115","Klim_holme_SKR (297).JPG",7.68,0
"116","Klim_holme_SKR (299).JPG",7.68,0
"117","Klim_holme_SKR (30).JPG",4.32,2
"118","Klim_holme_SKR (300).JPG",8.33333333333333,0
"119","Klim_holme_SKR (301).JPG",8.33333333333333,0
"120","Klim_holme_SKR (303).JPG",7.05333333333333,0
"121","Klim_holme_SKR (305).JPG",7.05333333333333,6
"122","Klim_holme_SKR (306).JPG",7.05333333333333,6
"123","Klim_holme_SKR (308).JPG",7.05333333333333,1
"124","Klim_holme_SKR (310).JPG",7.68,3
"125","Klim_holme_SKR (312).JPG",7.05333333333333,4
"126","Klim_holme_SKR (314).JPG",7.68,3
"127","Klim_holme_SKR (315).JPG",7.05333333333333,9
"128","Klim_holme_SKR (317).JPG",7.68,6
"129","Klim_holme_SKR (318).JPG",7.68,3
"130","Klim_holme_SKR (32).JPG",3.85333333333333,0
"131","Klim_holme_SKR (320).JPG",7.05333333333333,3
"132","Klim_holme_SKR (322).JPG",7.05333333333333,4
"133","Klim_holme_SKR (324).JPG",7.05333333333333,2
"134","Klim_holme_SKR (326).JPG",7.05333333333333,0
"135","Klim_holme_SKR (328).JPG",7.05333333333333,3
"136","Klim_holme_SKR (329).JPG",7.05333333333333,2
"137","Klim_holme_SKR (333).JPG",5.88,0
"138","Klim_holme_SKR (335).JPG",5.88,1
"139","Klim_holme_SKR (339).JPG",5.88,0
"140","Klim_holme_SKR (34).JPG",4.32,2
"141","Klim_holme_SKR (341).JPG",5.88,1
"142","Klim_holme_SKR (343).JPG",5.88,1
"143","Klim_holme_SKR (345).JPG",5.88,1
"144","Klim_holme_SKR (347).JPG",5.33333333333333,0
"145","Klim_holme_SKR (352).JPG",5.33333333333333,22
"146","Klim_holme_SKR (354).JPG",5.33333333333333,30
"147","Klim_holme_SKR (356).JPG",5.88,29
"148","Klim_holme_SKR (358).JPG",5.88,16
"149","Klim_holme_SKR (36).JPG",4.32,1
"150","Klim_holme_SKR (364).JPG",5.33333333333333,12
"151","Klim_holme_SKR (366).JPG",5.33333333333333,20
"152","Klim_holme_SKR (368).JPG",5.33333333333333,20
"153","Klim_holme_SKR (369).JPG",5.33333333333333,8
"154","Klim_holme_SKR (370).JPG",5.33333333333333,31
"155","Klim_holme_SKR (372).JPG",5.33333333333333,3
"156","Klim_holme_SKR (374).JPG",5.88,5
"157","Klim_holme_SKR (376).JPG",5.33333333333333,5
"158","Klim_holme_SKR (378).JPG",5.33333333333333,6
"159","Klim_holme_SKR (38).JPG",3.85333333333333,0
"160","Klim_holme_SKR (380).JPG",5.33333333333333,6
"161","Klim_holme_SKR (382).JPG",5.33333333333333,5
"162","Klim_holme_SKR (384).JPG",5.88,3
"163","Klim_holme_SKR (386).JPG",5.33333333333333,4
"164","Klim_holme_SKR (388).JPG",5.33333333333333,5
"165","Klim_holme_SKR (389).JPG",5.33333333333333,6
"166","Klim_holme_SKR (391).JPG",4.81333333333333,8
"167","Klim_holme_SKR (394).JPG",5.33333333333333,2
"168","Klim_holme_SKR (396).JPG",5.33333333333333,2
"169","Klim_holme_SKR (398).JPG",5.33333333333333,2
"170","Klim_holme_SKR (40).JPG",3.85333333333333,4
"171","Klim_holme_SKR (400).JPG",5.33333333333333,0
"172","Klim_holme_SKR (402).JPG",5.33333333333333,1
"173","Klim_holme_SKR (404).JPG",5.88,1
"174","Klim_holme_SKR (406).JPG",5.33333333333333,0
"175","Klim_holme_SKR (408).JPG",5.33333333333333,3
"176","Klim_holme_SKR (41).JPG",3.85333333333333,5
"177","Klim_holme_SKR (410).JPG",5.88,2
"178","Klim_holme_SKR (411).JPG",5.88,2
"179","Klim_holme_SKR (413).JPG",5.33333333333333,2
"180","Klim_holme_SKR (414).JPG",5.33333333333333,1
"181","Klim_holme_SKR (416).JPG",5.33333333333333,3
"182","Klim_holme_SKR (418).JPG",5.33333333333333,0
"183","Klim_holme_SKR (420).JPG",5.33333333333333,0
"184","Klim_holme_SKR (423).JPG",5.88,0
"185","Klim_holme_SKR (425).JPG",5.33333333333333,1
"186","Klim_holme_SKR (427).JPG",7.05333333333333,0
"187","Klim_holme_SKR (429).JPG",8.33333333333333,0
"188","Klim_holme_SKR (43).JPG",3.85333333333333,0
"189","Klim_holme_SKR (431).JPG",7.68,0
"190","Klim_holme_SKR (433).JPG",8.33333333333333,2
"191","Klim_holme_SKR (436).JPG",7.68,1
"192","Klim_holme_SKR (437).JPG",8.33333333333333,4
"193","Klim_holme_SKR (438).JPG",8.33333333333333,1
"194","Klim_holme_SKR (440).JPG",7.68,1
"195","Klim_holme_SKR (442).JPG",7.68,3
"196","Klim_holme_SKR (444).JPG",8.33333333333333,2
"197","Klim_holme_SKR (446).JPG",8.33333333333333,1
"198","Klim_holme_SKR (448).JPG",8.33333333333333,4
"199","Klim_holme_SKR (449).JPG",7.68,2
"200","Klim_holme_SKR (45).JPG",4.32,7
"201","Klim_holme_SKR (451).JPG",7.68,9
"202","Klim_holme_SKR (453).JPG",7.68,17
"203","Klim_holme_SKR (454).JPG",8.33333333333333,22
"204","Klim_holme_SKR (455).JPG",7.68,15
"205","Klim_holme_SKR (457).JPG",7.68,6
"206","Klim_holme_SKR (459).JPG",7.68,1
"207","Klim_holme_SKR (461).JPG",8.33333333333333,0
"208","Klim_holme_SKR (464).JPG",8.33333333333333,5
"209","Klim_holme_SKR (465).JPG",7.68,0
"210","Klim_holme_SKR (466).JPG",8.33333333333333,2
"211","Klim_holme_SKR (468).JPG",7.68,0
"212","Klim_holme_SKR (47).JPG",4.32,1
"213","Klim_holme_SKR (470).JPG",5.33333333333333,1
"214","Klim_holme_SKR (473).JPG",4.32,4
"215","Klim_holme_SKR (478).JPG",3.85333333333333,21
"216","Klim_holme_SKR (479).JPG",3.85333333333333,4
"217","Klim_holme_SKR (481).JPG",3.41333333333333,5
"218","Klim_holme_SKR (483).JPG",2.25333333333333,7
"219","Klim_holme_SKR (484).JPG",2.25333333333333,6
"220","Klim_holme_SKR (485).JPG",2.61333333333333,4
"221","Klim_holme_SKR (488).JPG",2.25333333333333,8
"222","Klim_holme_SKR (49).JPG",3.85333333333333,4
"223","Klim_holme_SKR (490).JPG",2.25333333333333,4
"224","Klim_holme_SKR (495).JPG",2.25333333333333,6
"225","Klim_holme_SKR (496).JPG",1.92,7
"226","Klim_holme_SKR (498).JPG",2.25333333333333,3
"227","Klim_holme_SKR (500).JPG",2.61333333333333,2
"228","Klim_holme_SKR (501).JPG",2.25333333333333,4
"229","Klim_holme_SKR (503).JPG",2.25333333333333,11
"230","Klim_holme_SKR (504).JPG",2.61333333333333,1
"231","Klim_holme_SKR (506).JPG",2.61333333333333,10
"232","Klim_holme_SKR (509).JPG",2.25333333333333,3
"233","Klim_holme_SKR (51).JPG",3.85333333333333,1
"234","Klim_holme_SKR (510).JPG",2.25333333333333,4
"235","Klim_holme_SKR (512).JPG",2.25333333333333,9
"236","Klim_holme_SKR (514).JPG",2.61333333333333,4
"237","Klim_holme_SKR (516).JPG",2.25333333333333,0
"238","Klim_holme_SKR (518).JPG",2.25333333333333,6
"239","Klim_holme_SKR (519).JPG",2.25333333333333,3
"240","Klim_holme_SKR (520).JPG",2.25333333333333,1
"241","Klim_holme_SKR (522).JPG",2.61333333333333,6
"242","Klim_holme_SKR (524).JPG",2.25333333333333,0
"243","Klim_holme_SKR (526).JPG",2.25333333333333,2
"244","Klim_holme_SKR (528).JPG",3.85333333333333,0
"245","Klim_holme_SKR (53).JPG",4.32,0
"246","Klim_holme_SKR (530).JPG",4.81333333333333,2
"247","Klim_holme_SKR (532).JPG",4.81333333333333,9
"248","Klim_holme_SKR (537).JPG",5.88,1
"249","Klim_holme_SKR (539).JPG",5.88,0
"250","Klim_holme_SKR (541).JPG",5.88,0
"251","Klim_holme_SKR (543).JPG",5.33333333333333,0
"252","Klim_holme_SKR (545).JPG",5.88,7
"253","Klim_holme_SKR (546).JPG",6.45333333333334,2
"254","Klim_holme_SKR (548).JPG",5.88,2
"255","Klim_holme_SKR (55).JPG",4.32,0
"256","Klim_holme_SKR (550).JPG",5.88,5
"257","Klim_holme_SKR (551).JPG",5.33333333333333,2
"258","Klim_holme_SKR (553).JPG",5.33333333333333,1
"259","Klim_holme_SKR (556).JPG",5.33333333333333,1
"260","Klim_holme_SKR (557).JPG",5.33333333333333,1
"261","Klim_holme_SKR (559).JPG",5.88,6
"262","Klim_holme_SKR (561).JPG",5.33333333333333,1
"263","Klim_holme_SKR (562).JPG",5.33333333333333,2
"264","Klim_holme_SKR (564).JPG",5.33333333333333,3
"265","Klim_holme_SKR (566).JPG",5.33333333333333,2
"266","Klim_holme_SKR (568).JPG",5.33333333333333,2
"267","Klim_holme_SKR (57).JPG",3.85333333333333,1
"268","Klim_holme_SKR (570).JPG",5.33333333333333,2
"269","Klim_holme_SKR (572).JPG",5.33333333333333,4
"270","Klim_holme_SKR (574).JPG",5.33333333333333,5
"271","Klim_holme_SKR (576).JPG",5.33333333333333,1
"272","Klim_holme_SKR (578).JPG",5.33333333333333,1
"273","Klim_holme_SKR (580).JPG",5.33333333333333,4
"274","Klim_holme_SKR (582).JPG",5.33333333333333,1
"275","Klim_holme_SKR (584).JPG",5.33333333333333,0
"276","Klim_holme_SKR (586).JPG",5.33333333333333,1
"277","Klim_holme_SKR (588).JPG",5.88,0
"278","Klim_holme_SKR (59).JPG",4.32,3
"279","Klim_holme_SKR (591).JPG",5.88,0
"280","Klim_holme_SKR (594).JPG",5.88,1
"281","Klim_holme_SKR (596).JPG",6.45333333333334,3
"282","Klim_holme_SKR (598).JPG",5.88,6
"283","Klim_holme_SKR (605).JPG",5.88,2
"284","Klim_holme_SKR (61).JPG",3.85333333333333,0
"285","Klim_holme_SKR (616).JPG",5.33333333333333,25
"286","Klim_holme_SKR (62).JPG",4.32,0
"287","Klim_holme_SKR (631).JPG",5.33333333333333,2
"288","Klim_holme_SKR (633).JPG",5.33333333333333,4
"289","Klim_holme_SKR (635).JPG",5.33333333333333,2
"290","Klim_holme_SKR (637).JPG",5.33333333333333,5
"291","Klim_holme_SKR (639).JPG",4.32,2
"292","Klim_holme_SKR (64).JPG",4.32,0
"293","Klim_holme_SKR (641).JPG",4.32,1
"294","Klim_holme_SKR (643).JPG",5.33333333333333,10
"295","Klim_holme_SKR (645).JPG",4.81333333333333,5
"296","Klim_holme_SKR (646).JPG",5.33333333333333,8
"297","Klim_holme_SKR (648).JPG",5.33333333333333,5
"298","Klim_holme_SKR (650).JPG",5.33333333333333,11
"299","Klim_holme_SKR (652).JPG",5.33333333333333,11
"300","Klim_holme_SKR (654).JPG",5.33333333333333,5
"301","Klim_holme_SKR (656).JPG",5.33333333333333,6
"302","Klim_holme_SKR (657).JPG",5.33333333333333,8
"303","Klim_holme_SKR (659).JPG",5.33333333333333,5
"304","Klim_holme_SKR (660).JPG",5.33333333333333,5
"305","Klim_holme_SKR (662).JPG",5.33333333333333,1
"306","Klim_holme_SKR (663).JPG",4.81333333333333,0
"307","Klim_holme_SKR (668).JPG",5.88,8
"308","Klim_holme_SKR (669).JPG",4.81333333333333,7
"309","Klim_holme_SKR (67).JPG",4.32,0
"310","Klim_holme_SKR (670).JPG",4.32,5
"311","Klim_holme_SKR (672).JPG",3.85333333333333,8
"312","Klim_holme_SKR (674).JPG",4.32,13
"313","Klim_holme_SKR (676).JPG",4.32,5
"314","Klim_holme_SKR (677).JPG",4.32,6
"315","Klim_holme_SKR (679).JPG",4.32,6
"316","Klim_holme_SKR (680).JPG",4.81333333333333,3
"317","Klim_holme_SKR (682).JPG",4.32,4
"318","Klim_holme_SKR (684).JPG",4.32,6
"319","Klim_holme_SKR (686).JPG",4.81333333333333,11
"320","Klim_holme_SKR (688).JPG",4.32,6
"321","Klim_holme_SKR (691).JPG",4.32,2
"322","Klim_holme_SKR (693).JPG",4.32,1
"323","Klim_holme_SKR (695).JPG",4.32,4
"324","Klim_holme_SKR (697).JPG",4.32,1
"325","Klim_holme_SKR (698).JPG",4.32,7
"326","Klim_holme_SKR (7).JPG",4.32,0
"327","Klim_holme_SKR (70).JPG",4.32,0
"328","Klim_holme_SKR (700).JPG",4.32,5
"329","Klim_holme_SKR (702).JPG",4.32,12
"330","Klim_holme_SKR (708).JPG",5.88,2
"331","Klim_holme_SKR (71).JPG",4.32,0
"332","Klim_holme_SKR (711).JPG",5.88,2
"333","Klim_holme_SKR (713).JPG",5.88,4
"334","Klim_holme_SKR (716).JPG",6.45333333333334,7
"335","Klim_holme_SKR (718).JPG",5.88,3
"336","Klim_holme_SKR (720).JPG",6.45333333333334,6
"337","Klim_holme_SKR (723).JPG",5.88,2
"338","Klim_holme_SKR (725).JPG",5.88,7
"339","Klim_holme_SKR (726).JPG",5.88,4
"340","Klim_holme_SKR (728).JPG",5.88,4
"341","Klim_holme_SKR (73).JPG",3.85333333333333,0
"342","Klim_holme_SKR (730).JPG",5.88,11
"343","Klim_holme_SKR (732).JPG",7.68,4
"344","Klim_holme_SKR (735).JPG",8.33333333333333,7
"345","Klim_holme_SKR (737).JPG",8.33333333333333,1
"346","Klim_holme_SKR (739).JPG",8.33333333333333,4
"347","Klim_holme_SKR (744).JPG",8.33333333333333,1
"348","Klim_holme_SKR (746).JPG",8.33333333333333,1
"349","Klim_holme_SKR (748).JPG",10.4533333333333,7
"350","Klim_holme_SKR (75).JPG",3.85333333333333,3
"351","Klim_holme_SKR (750).JPG",11.2133333333333,1
"352","Klim_holme_SKR (752).JPG",11.2133333333333,1
"353","Klim_holme_SKR (755).JPG",10.4533333333333,5
"354","Klim_holme_SKR (757).JPG",10.4533333333333,2
"355","Klim_holme_SKR (759).JPG",10.4533333333333,3
"356","Klim_holme_SKR (76).JPG",3.85333333333333,2
"357","Klim_holme_SKR (771).JPG",10.4533333333333,0
"358","Klim_holme_SKR (772).JPG",9.72,3
"359","Klim_holme_SKR (776).JPG",9.72,0
"360","Klim_holme_SKR (78).JPG",3.85333333333333,0
"361","Klim_holme_SKR (80).JPG",4.32,0
"362","Klim_holme_SKR (82).JPG",4.32,0
"363","Klim_holme_SKR (84).JPG",4.32,2
"364","Klim_holme_SKR (85).JPG",4.81333333333333,2
"365","Klim_holme_SKR (89).JPG",4.32,2
"366","Klim_holme_SKR (94).JPG",4.32,4
"367","Klim_holme_SKR (96).JPG",4.32,2
"368","Klim_holme_SKR (98).JPG",4.81333333333333,3
