"","name","m2","droppings"
"1","Noerholm_V (1).JPG",6.68006580584099,18
"2","Noerholm_V (10).JPG",6.68006580584099,56
"3","Noerholm_V (100).JPG",6.68006580584099,19
"4","Noerholm_V (1000).JPG",6.68006580584099,8
"5","Noerholm_V (1002).JPG",6.68006580584099,28
"6","Noerholm_V (1004).JPG",6.68006580584099,2
"7","Noerholm_V (1007).JPG",7.3647725509397,14
"8","Noerholm_V (1009).JPG",8.0828796250676,6
"9","Noerholm_V (1011).JPG",4.27524211573824,62
"10","Noerholm_V (1013).JPG",4.27524211573824,111
"11","Noerholm_V (1015).JPG",4.82634754472012,100
"12","Noerholm_V (1017).JPG",4.27524211573824,112
"13","Noerholm_V (1019).JPG",4.27524211573824,143
"14","Noerholm_V (102).JPG",6.68006580584099,35
"15","Noerholm_V (1021).JPG",4.27524211573824,163
"16","Noerholm_V (1023).JPG",4.82634754472012,131
"17","Noerholm_V (1025).JPG",3.27323224486209,111
"18","Noerholm_V (1027).JPG",3.27323224486209,113
"19","Noerholm_V (1029).JPG",3.27323224486209,158
"20","Noerholm_V (1030).JPG",3.27323224486209,179
"21","Noerholm_V (1031).JPG",3.27323224486209,81
"22","Noerholm_V (1033).JPG",3.27323224486209,51
"23","Noerholm_V (1034).JPG",3.27323224486209,210
"24","Noerholm_V (1037).JPG",3.75753701578556,151
"25","Noerholm_V (1039).JPG",3.27323224486209,167
"26","Noerholm_V (104).JPG",6.68006580584099,51
"27","Noerholm_V (1041).JPG",3.27323224486209,100
"28","Noerholm_V (1043).JPG",3.27323224486209,105
"29","Noerholm_V (1044).JPG",2.82232780296782,228
"30","Noerholm_V (1047).JPG",3.27323224486209,206
"31","Noerholm_V (1049).JPG",3.27323224486209,201
"32","Noerholm_V (1051).JPG",2.40482369010276,180
"33","Noerholm_V (1053).JPG",2.40482369010276,91
"34","Noerholm_V (1055).JPG",2.40482369010276,81
"35","Noerholm_V (1056).JPG",3.27323224486209,117
"36","Noerholm_V (1058).JPG",3.27323224486209,134
"37","Noerholm_V (106).JPG",6.68006580584099,16
"38","Noerholm_V (1060).JPG",2.82232780296782,56
"39","Noerholm_V (1062).JPG",2.82232780296782,73
"40","Noerholm_V (1064).JPG",2.82232780296782,85
"41","Noerholm_V (1066).JPG",2.82232780296782,114
"42","Noerholm_V (1068).JPG",3.75753701578556,47
"43","Noerholm_V (1070).JPG",3.27323224486209,39
"44","Noerholm_V (1071).JPG",4.27524211573824,20
"45","Noerholm_V (1073).JPG",3.75753701578556,17
"46","Noerholm_V (1075).JPG",4.27524211573824,11
"47","Noerholm_V (1076).JPG",3.75753701578556,53
"48","Noerholm_V (1077).JPG",3.75753701578556,22
"49","Noerholm_V (1078).JPG",3.75753701578556,60
"50","Noerholm_V (108).JPG",6.68006580584099,39
"51","Noerholm_V (1080).JPG",3.27323224486209,99
"52","Noerholm_V (1082).JPG",3.27323224486209,139
"53","Noerholm_V (1084).JPG",3.75753701578556,91
"54","Noerholm_V (1086).JPG",3.75753701578556,35
"55","Noerholm_V (1087).JPG",3.75753701578556,32
"56","Noerholm_V (1088).JPG",3.75753701578556,18
"57","Noerholm_V (1089).JPG",3.75753701578556,40
"58","Noerholm_V (109).JPG",6.68006580584099,31
"59","Noerholm_V (1090).JPG",3.27323224486209,46
"60","Noerholm_V (1092).JPG",3.27323224486209,44
"61","Noerholm_V (1093).JPG",3.75753701578556,24
"62","Noerholm_V (1095).JPG",3.75753701578556,72
"63","Noerholm_V (1096).JPG",3.75753701578556,33
"64","Noerholm_V (1098).JPG",3.27323224486209,26
"65","Noerholm_V (110).JPG",6.68006580584099,35
"66","Noerholm_V (1100).JPG",3.75753701578556,18
"67","Noerholm_V (1102).JPG",3.75753701578556,13
"68","Noerholm_V (1103).JPG",3.75753701578556,14
"69","Noerholm_V (1104).JPG",3.27323224486209,25
"70","Noerholm_V (1107).JPG",4.27524211573824,14
"71","Noerholm_V (1109).JPG",3.75753701578556,14
"72","Noerholm_V (111).JPG",7.3647725509397,40
"73","Noerholm_V (1111).JPG",4.27524211573824,7
"74","Noerholm_V (1113).JPG",4.27524211573824,20
"75","Noerholm_V (1115).JPG",4.27524211573824,49
"76","Noerholm_V (1116).JPG",4.27524211573824,44
"77","Noerholm_V (1119).JPG",4.27524211573824,41
"78","Noerholm_V (1121).JPG",4.27524211573824,13
"79","Noerholm_V (1122).JPG",4.27524211573824,20
"80","Noerholm_V (1124).JPG",4.27524211573824,48
"81","Noerholm_V (1125).JPG",4.27524211573824,57
"82","Noerholm_V (1127).JPG",5.41085330273121,43
"83","Noerholm_V (1129).JPG",6.0287593897715,58
"84","Noerholm_V (113).JPG",50.5179976566725,64
"85","Noerholm_V (1131).JPG",4.82634754472012,73
"86","Noerholm_V (1133).JPG",4.82634754472012,50
"87","Noerholm_V (1134).JPG",4.82634754472012,47
"88","Noerholm_V (1136).JPG",4.82634754472012,22
"89","Noerholm_V (1138).JPG",4.27524211573824,14
"90","Noerholm_V (1140).JPG",4.27524211573824,14
"91","Noerholm_V (1141).JPG",4.27524211573824,13
"92","Noerholm_V (1144).JPG",4.82634754472012,8
"93","Noerholm_V (1145).JPG",4.82634754472012,5
"94","Noerholm_V (1146).JPG",4.82634754472012,10
"95","Noerholm_V (1148).JPG",4.82634754472012,13
"96","Noerholm_V (1150).JPG",4.82634754472012,17
"97","Noerholm_V (1151).JPG",4.82634754472012,25
"98","Noerholm_V (1153).JPG",4.27524211573824,16
"99","Noerholm_V (1155).JPG",4.27524211573824,26
"100","Noerholm_V (1156).JPG",4.82634754472012,30
"101","Noerholm_V (1157).JPG",4.27524211573824,45
"102","Noerholm_V (1159).JPG",4.27524211573824,26
"103","Noerholm_V (1161).JPG",4.27524211573824,95
"104","Noerholm_V (1163).JPG",4.27524211573824,29
"105","Noerholm_V (1165).JPG",4.27524211573824,54
"106","Noerholm_V (1167).JPG",4.27524211573824,59
"107","Noerholm_V (1169).JPG",4.27524211573824,53
"108","Noerholm_V (117).JPG",7.3647725509397,89
"109","Noerholm_V (1171).JPG",4.27524211573824,43
"110","Noerholm_V (1172).JPG",4.27524211573824,109
"111","Noerholm_V (1174).JPG",4.27524211573824,73
"112","Noerholm_V (1176).JPG",4.27524211573824,100
"113","Noerholm_V (1178).JPG",4.82634754472012,130
"114","Noerholm_V (1180).JPG",5.41085330273121,76
"115","Noerholm_V (1182).JPG",5.41085330273121,54
"116","Noerholm_V (1184).JPG",5.41085330273121,52
"117","Noerholm_V (1186).JPG",4.82634754472012,72
"118","Noerholm_V (1188).JPG",4.82634754472012,94
"119","Noerholm_V (119).JPG",5.41085330273121,94
"120","Noerholm_V (1190).JPG",5.41085330273121,54
"121","Noerholm_V (1192).JPG",5.41085330273121,23
"122","Noerholm_V (1193).JPG",5.41085330273121,43
"123","Noerholm_V (1194).JPG",5.41085330273121,40
"124","Noerholm_V (1196).JPG",4.82634754472012,63
"125","Noerholm_V (1197).JPG",5.41085330273121,35
"126","Noerholm_V (1199).JPG",5.41085330273121,21
"127","Noerholm_V (12).JPG",6.68006580584099,66
"128","Noerholm_V (1201).JPG",5.41085330273121,12
"129","Noerholm_V (1203).JPG",4.82634754472012,24
"130","Noerholm_V (1205).JPG",6.0287593897715,46
"131","Noerholm_V (1206).JPG",6.68006580584099,44
"132","Noerholm_V (1209).JPG",6.0287593897715,11
"133","Noerholm_V (121).JPG",6.0287593897715,87
"134","Noerholm_V (1210).JPG",6.0287593897715,2
"135","Noerholm_V (1211).JPG",6.0287593897715,12
"136","Noerholm_V (1213).JPG",5.41085330273121,32
"137","Noerholm_V (1214).JPG",6.0287593897715,23
"138","Noerholm_V (1216).JPG",6.0287593897715,25
"139","Noerholm_V (1218).JPG",5.41085330273121,31
"140","Noerholm_V (1220).JPG",5.41085330273121,35
"141","Noerholm_V (1222).JPG",6.0287593897715,31
"142","Noerholm_V (1224).JPG",6.68006580584099,18
"143","Noerholm_V (1225).JPG",6.0287593897715,15
"144","Noerholm_V (1227).JPG",6.0287593897715,13
"145","Noerholm_V (1229).JPG",6.0287593897715,28
"146","Noerholm_V (123).JPG",5.41085330273121,81
"147","Noerholm_V (1231).JPG",6.0287593897715,28
"148","Noerholm_V (1233).JPG",6.68006580584099,33
"149","Noerholm_V (1235).JPG",6.68006580584099,26
"150","Noerholm_V (1237).JPG",6.68006580584099,52
"151","Noerholm_V (1239).JPG",6.68006580584099,31
"152","Noerholm_V (1240).JPG",6.0287593897715,34
"153","Noerholm_V (1241).JPG",6.0287593897715,44
"154","Noerholm_V (1242).JPG",6.0287593897715,63
"155","Noerholm_V (1244).JPG",6.68006580584099,50
"156","Noerholm_V (1246).JPG",6.0287593897715,40
"157","Noerholm_V (1248).JPG",6.68006580584099,29
"158","Noerholm_V (1249).JPG",6.0287593897715,59
"159","Noerholm_V (125).JPG",5.41085330273121,67
"160","Noerholm_V (1251).JPG",6.68006580584099,44
"161","Noerholm_V (1252).JPG",6.0287593897715,30
"162","Noerholm_V (1254).JPG",6.0287593897715,52
"163","Noerholm_V (1256).JPG",6.0287593897715,22
"164","Noerholm_V (1258).JPG",5.41085330273121,9
"165","Noerholm_V (1260).JPG",6.68006580584099,15
"166","Noerholm_V (1262).JPG",6.68006580584099,11
"167","Noerholm_V (1264).JPG",6.68006580584099,43
"168","Noerholm_V (1265).JPG",6.0287593897715,78
"169","Noerholm_V (1266).JPG",6.68006580584099,35
"170","Noerholm_V (1268).JPG",6.0287593897715,65
"171","Noerholm_V (127).JPG",5.41085330273121,67
"172","Noerholm_V (1270).JPG",6.0287593897715,56
"173","Noerholm_V (1272).JPG",6.68006580584099,51
"174","Noerholm_V (1274).JPG",6.0287593897715,17
"175","Noerholm_V (1276).JPG",6.68006580584099,17
"176","Noerholm_V (1278).JPG",6.0287593897715,14
"177","Noerholm_V (1280).JPG",6.68006580584099,11
"178","Noerholm_V (1282).JPG",6.68006580584099,8
"179","Noerholm_V (1284).JPG",6.68006580584099,6
"180","Noerholm_V (1286).JPG",6.68006580584099,7
"181","Noerholm_V (1288).JPG",6.0287593897715,1
"182","Noerholm_V (129).JPG",5.41085330273121,61
"183","Noerholm_V (1290).JPG",6.0287593897715,6
"184","Noerholm_V (1292).JPG",8.83438702822471,30
"185","Noerholm_V (1294).JPG",8.83438702822471,47
"186","Noerholm_V (1296).JPG",9.61929476041103,37
"187","Noerholm_V (1298).JPG",8.83438702822471,28
"188","Noerholm_V (1300).JPG",8.83438702822471,31
"189","Noerholm_V (1302).JPG",8.83438702822471,45
"190","Noerholm_V (1303).JPG",8.83438702822471,24
